Name	Px	Py	Pz	Ox	Oy	Oz	Layx	Layy
FC1 Z	-5.1978e-05	0.11437	-0.01051	0.005476	-0.98122	-0.19279	0.00094378	0.45674
FC2 X	-4.5389e-05	0.090627	0.047653	0.014412	0.63569	-0.77181	0.001001	0.30614
FC2 Y	-4.5389e-05	0.090627	0.047653	-0.99987	0.0036728	-0.015646	0.001001	0.30614
FC2 Z	-4.5389e-05	0.090627	0.047653	0.007111	-0.77194	-0.63566	0.001001	0.30614
PC1 X	-2.0896e-05	0.062068	0.070937	0.006307	0.87193	-0.48959	0.0010477	0.21073
PC1 Y	-2.0896e-05	0.062068	0.070937	-0.99996	0.0026214	-0.0082133	0.0010477	0.21073
PC1 Z	-2.0896e-05	0.062068	0.070937	0.005878	-0.48962	-0.87191	0.0010477	0.21073
PC2 X	-7.49e-06	0.02944	0.085101	0.005721	0.94325	-0.33204	0.0010922	0.10659
PC2 Y	-7.49e-06	0.02944	0.085101	-0.99996	0.0032436	-0.0080149	0.0010922	0.10659
PC2 Z	-7.49e-06	0.02944	0.085101	0.006483	-0.33207	-0.94323	0.0010922	0.10659
PC3 X	-2.2273e-05	-0.012123	0.094432	0.004176	0.99818	-0.060144	0.0010603	-0.016498
PC3 Y	-2.2273e-05	-0.012123	0.094432	-0.99997	0.0037348	-0.0074462	0.0010603	-0.016498
PC3 Z	-2.2273e-05	-0.012123	0.094432	0.007208	-0.060173	-0.99816	0.0010603	-0.016498
PC4 X	-4.0876e-05	-0.055554	0.087877	0.000662	0.92296	0.38491	0.00099561	-0.12941
PC4 Y	-4.0876e-05	-0.055554	0.087877	-0.99998	0.0028792	-0.0051842	0.00099561	-0.12941
PC4 Z	-4.0876e-05	-0.055554	0.087877	0.005893	0.3849	-0.92294	0.00099561	-0.12941
OC1 X	-6.4156e-05	-0.10219	0.04052	-0.004377	0.44394	0.89604	0.00091503	-0.29184
OC1 Y	-6.4156e-05	-0.10219	0.04052	-0.99998	0.002487	-0.0061169	0.00091503	-0.29184
OC1 Z	-6.4156e-05	-0.10219	0.04052	0.004944	0.89605	-0.44392	0.00091503	-0.29184
OC2 X	-6.1542e-05	-0.11757	-0.027444	-0.058986	0.067	0.99601	0.00096796	-0.4525
OC2 Y	-6.1542e-05	-0.11757	-0.027444	-0.99822	0.0043929	-0.059413	0.00096796	-0.4525
OC2 Z	-6.1542e-05	-0.11757	-0.027444	0.008356	0.99774	-0.066622	0.00096796	-0.4525
