name	Px	Py	Pz	Ox	Oy	Oz	Units
PR6(Y)	8.905858e-02	-2.444798e-02	3.095652e-02	2.915922e-01	1.660975e-01	-9.420115e-01	m
PR6(Z)	8.905858e-02	-2.444798e-02	3.095652e-02	-9.559559e-01	8.509199e-02	-2.809050e-01	m
PR7(X)	3.476546e-02	-3.716589e-02	8.626253e-02	-6.949998e-04	-9.897587e-01	-1.427490e-01	m
PR7(Y)	3.476546e-02	-3.716589e-02	8.626253e-02	9.355963e-01	4.975695e-02	-3.495480e-01	m
PR7(Z)	3.476546e-02	-3.716589e-02	8.626253e-02	-3.530710e-01	1.337990e-01	-9.259799e-01	m
PR8(X)	5.542074e-02	-6.307458e-02	6.487213e-02	-2.219209e-01	-8.762488e-01	-4.277139e-01	m
PR8(Y)	5.542074e-02	-6.307458e-02	6.487213e-02	7.773389e-01	1.058207e-01	-6.201179e-01	m
PR8(Z)	5.542074e-02	-6.307458e-02	6.487213e-02	-5.886386e-01	4.700957e-01	-6.576585e-01	m
PR9(X)	7.655256e-02	-6.376462e-02	3.367930e-02	3.567388e-01	8.749396e-01	3.274418e-01	m
PR9(Y)	7.655256e-02	-6.376462e-02	3.367930e-02	-4.269497e-01	-1.590638e-01	8.901756e-01	m
PR9(Z)	7.655256e-02	-6.376462e-02	3.367930e-02	-8.309342e-01	4.573611e-01	-3.168111e-01	m
OR1(X)	2.103247e-02	-8.068222e-02	6.856112e-02	1.445340e-01	7.149130e-01	6.841120e-01	m
OR1(Y)	2.103247e-02	-8.068222e-02	6.856112e-02	-9.726822e-01	-2.427427e-02	2.308681e-01	m
OR1(Z)	2.103247e-02	-8.068222e-02	6.856112e-02	-1.816570e-01	6.987918e-01	-6.918748e-01	m
OR2(X)	4.399712e-02	-9.343210e-02	3.838528e-02	-4.718719e-01	-5.815499e-01	-6.626739e-01	m
OR2(Y)	4.399712e-02	-9.343210e-02	3.838528e-02	7.749896e-01	8.479124e-02	-6.262600e-01	m
OR2(Z)	4.399712e-02	-9.343210e-02	3.838528e-02	-4.203901e-01	8.090802e-01	-4.106841e-01	m
OR3(X)	6.370708e-02	-9.044154e-02	2.559932e-03	6.720411e-01	6.888891e-01	2.716480e-01	m
OR3(Y)	6.370708e-02	-9.044154e-02	2.559932e-03	-2.436389e-01	-1.407179e-01	9.596033e-01	m
OR3(Z)	6.370708e-02	-9.044154e-02	2.559932e-03	-6.992859e-01	7.110769e-01	-7.327199e-02	m
OR4(X)	7.445774e-02	-7.841473e-02	-3.406999e-02	-5.580230e-01	-8.293090e-01	-2.927500e-02	m
OR4(Y)	7.445774e-02	-7.841473e-02	-3.406999e-02	1.334002e-02	2.630892e-02	-9.995648e-01	m
OR4(Z)	7.445774e-02	-7.841473e-02	-3.406999e-02	-8.297180e-01	5.581710e-01	3.618000e-03	m
OR5(X)	2.367052e-02	-1.110203e-01	8.522312e-03	5.154127e-01	2.985629e-01	8.032496e-01	m
OR5(Y)	2.367052e-02	-1.110203e-01	8.522312e-03	-8.332385e-01	-4.433272e-02	5.511336e-01	m
